payload_type,variant,seed,image,chi_square_p,rs_rate,ws_rate,payload_bias,payload_autocorr,payload_entropy
uniform,cover,1,9,3.733534489569478e-22,0.00593783442561954,0.0,,,
uniform,cover,1,10,0.0,0.41467029626094876,0.22073847327209017,,,
uniform,cover,1,11,0.0,0.007937580280891263,0.006575236234637382,,,
uniform,cover,1,12,0.0,0.0,0.0,,,
uniform,cover,1,13,3.906484069535057e-17,0.0,0.0,,,
uniform,cover,1,14,8.749711751378213e-29,0.00390172924415872,0.004438234304130198,,,
uniform,cover,1,15,3.906484069535057e-17,0.0,0.0,,,
uniform,cover,1,16,8.159250511066146e-12,0.00602114395379416,0.0,,,
uniform,cover,1,17,0.05101594999135635,0.021654299520254307,0.005898903031078768,,,
uniform,cover,1,18,0.2195240920905804,0.020959373138568983,0.015691000540995904,,,
uniform,cover,1,19,0.0,0.03480289921311532,0.013718763942881506,,,
uniform,cover,1,20,0.0,0.4683281652123114,0.192461876123866,,,
uniform,cover,1,21,2.026826798841779e-39,0.01941539049302317,0.00026604133099672754,,,
uniform,cover,1,22,0.0,0.06300549627107752,0.02383397142606437,,,
uniform,cover,1,23,1.2215997011142896e-22,0.0,0.019271010063964228,,,
uniform,cover,1,24,8.662603408063465e-48,0.005130923295415994,0.0025313082822640944,,,
uniform,cover,1,25,1.949991634603566e-51,0.0028624600633730146,0.0,,,
uniform,cover,1,26,0.7622848759274033,0.0,0.005110464174320522,,,
uniform,cover,1,27,0.0,0.0,0.0,,,
uniform,cover,1,28,0.0004081507207802356,0.0,0.005418977866374009,,,
ascii_text,no_decomp,0,0,0.0,0.0837907419615188,0.09043262135555649,,,
ascii_text,full,0,0,0.0,0.08395673105752478,0.0992063599572378,,,
ascii_text,no_decomp,0,1,2.6374945040117124e-05,0.07524955338870098,0.0743449201483549,,,
ascii_text,full,0,1,0.00031728245966257244,0.08453070535221446,0.1066275187028617,,,
ascii_text,no_decomp,0,2,2.3527710131543745e-17,0.1789732344138454,0.1790158111157486,,,
ascii_text,full,0,2,4.551193865962075e-11,0.17040267542671095,0.14036277632667413,,,
ascii_text,no_decomp,0,3,1.125813122742408e-56,0.17255171868667005,0.13527760558541183,,,
ascii_text,full,0,3,2.763410324426504e-75,0.22722311753975663,0.17395794491855682,,,
ascii_text,no_decomp,0,4,6.57779555945042e-74,0.0629894503137166,0.06492868851985933,,,
ascii_text,full,0,4,1.8111051164095383e-29,0.0845313432042342,0.11494909306135122,,,
ascii_text,no_decomp,0,5,6.134037792969747e-70,0.08186903811647844,0.053650020145750765,,,
ascii_text,full,0,5,2.1892628324756686e-58,0.09072788762361624,0.08428668308662601,,,
ascii_text,no_decomp,0,6,2.3044475099070113e-62,0.19145358807751545,0.11326434076360031,,,
ascii_text,full,0,6,2.3353661196183887e-60,0.2084149451765527,0.12191184401588069,,,
ascii_text,no_decomp,0,7,0.7815160626853854,0.11803731251646181,0.12550399998216702,,,
ascii_text,full,0,7,0.9591239736751311,0.1258274255980746,0.13308356545589003,,,
ascii_text,no_decomp,0,8,1.1902987904187156e-36,0.08428978835219346,0.0824148786193857,,,
ascii_text,full,0,8,1.0221243985465942e-20,0.08971530359620224,0.11883099145739853,,,
ascii_text,no_decomp,0,9,1.2240744697238948e-19,0.07228071957431083,0.06557499232626181,,,
ascii_text,full,0,9,3.047845766786706e-19,0.09964287539885348,0.09353030656033123,,,
